CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,NATURALINC2010,NATURALINC2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NETMIG2010,NETMIG2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,RESIDUAL2010,RESIDUAL2011
122,29300,,13285,"Troup County, GA",County or equivalent,67044,67044,67170,67764,126,594,58,242,222,912,164,670,68,352,10,47,58,305,0,0
122,45580,,,"Thomaston, GA",Micropolitan Statistical Area,27153,27153,27093,26977,-60,-116,-1,-32,84,341,85,373,-59,-84,12,34,-71,-118,0,0
122,45580,,13293,"Upson County, GA",County or equivalent,27153,27153,27093,26977,-60,-116,-1,-32,84,341,85,373,-59,-84,12,34,-71,-118,0,0
122,46740,,,"Valley, AL",Micropolitan Statistical Area,34215,34215,34143,33939,-72,-204,-16,-88,94,373,110,461,-55,-116,4,20,-59,-136,-1,0
122,46740,,1017,"Chambers County, AL",County or equivalent,34215,34215,34143,33939,-72,-204,-16,-88,94,373,110,461,-55,-116,4,20,-59,-136,-1,0
126,,,,"Austin-Round Rock-Marble Falls, TX",Combined Statistical Area,1759039,1759039,1771046,1826636,12007,55590,4504,18161,6591,26450,2087,8289,7352,37046,1542,6171,5810,30875,151,383
126,12420,,,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1716289,1716289,1728247,1783519,11958,55272,4491,18085,6474,25973,1983,7888,7314,36803,1534,6134,5780,30669,153,384
126,12420,,48021,"Bastrop County, TX",County or equivalent,74171,74169,74401,75115,232,714,97,307,219,887,122,580,132,406,7,20,125,386,3,1
126,12420,,48055,"Caldwell County, TX",County or equivalent,38066,38066,38126,38442,60,316,47,196,120,487,73,291,14,120,10,47,4,73,-1,0
126,12420,,48209,"Hays County, TX",County or equivalent,157107,157103,158311,164050,1208,5739,326,1330,518,2079,192,749,863,4354,22,108,841,4246,19,55
126,12420,,48453,"Travis County, TX",County or equivalent,1024266,1024272,1030588,1063130,6316,32542,2880,11785,4033,16240,1153,4455,3367,20547,1255,5206,2112,15341,69,210
126,12420,,48491,"Williamson County, TX",County or equivalent,422679,422679,426821,442782,4142,15961,1141,4467,1584,6280,443,1813,2938,11376,240,753,2698,10623,63,118
126,31920,,,"Marble Falls, TX",Micropolitan Statistical Area,42750,42750,42799,43117,49,318,13,76,117,477,104,401,38,243,8,37,30,206,-2,-1
126,31920,,48053,"Burnet County, TX",County or equivalent,42750,42750,42799,43117,49,318,13,76,117,477,104,401,38,243,8,37,30,206,-2,-1
132,,,,"Baton Rouge-Pierre Part, LA",Combined Statistical Area,825905,825905,827935,831395,2030,3460,1357,5126,2819,11588,1462,6462,659,-1690,268,781,391,-2471,14,24
132,12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,802484,802484,804568,808242,2084,3674,1341,5109,2765,11349,1424,6240,729,-1459,267,777,462,-2236,14,24
